pais;codigo;continente;renda;pib_dolares_precos_correntes;populacao;expectativa_de_vida_ao_nascer_mulheres;expectativa_de_vida_ao_nascer_homens;taxa_de_fertilidade;nascimentos_por_1000_mulheres_entre_15_e_19_anos;dias_necessarios_para_abrir_negocio;proporcao_de_mulheres_no_parlamento_nacional
Montenegro;MNE;Europa;Renda Média-Alta;4780722122;621306;78.8;73.2;1.75;7.717;12;22.22222222
Mongolia;MNG;Asia;Renda Média-Baixa;13312981595;3278292;74.326;65.973;2.834;32.3292;12;17.33333333
Northern Mariana Islands;MNP;Oceania;Renda Alta;;57557;;;;;;
Mozambique;MOZ;Africa;Renda Baixa;14028811072;31255435;64.211;58.302;4.713;141.5004;17;42.4
Mauritania;MRT;Africa;Renda Média-Baixa;7915985514;4649660;66.731;63.5;4.449;66.786;6;20.26143791
Mauritius;MUS;Africa;Renda Média-Alta;10926820603;1265740;77.66;70.86;1.44;24.3658;4.5;20
Malawi;MWI;Africa;Renda Baixa;12172128470;19129955;67.85;61.524;4.055;130.9424;37;22.91666667
Malaysia;MYS;Asia;Renda Média-Alta;3.37E+11;32365998;78.458;74.381;1.965;13.5724;17.5;14.86486486
Namibia;NAM;Africa;Renda Média-Alta;10562637376;2540916;66.853;61.016;3.293;57.642;54;43.26923077
New Caledonia;NCL;Oceania;Renda Alta;9435529927;271960;80.536;75.138;1.923;13.7056;;
Niger;NER;Africa;Renda Baixa;13741378450;24206636;64.01;61.636;6.735;177.4642;10;16.95906433
Nigeria;NGA;Africa;Renda Média-Baixa;4.32E+11;206139587;55.969;54.104;5.248;101.681;7.2;7.222222222
Guatemala;GTM;America;Renda Média-Alta;77604632621;16858333;77.365;71.623;2.777;67.408;15;19.375
Netherlands;NLD;Europa;Renda Alta;9.14E+11;17441500;83.1;79.8;1.55;3.5324;3.5;33.33333333
Norway;NOR;Europa;Renda Alta;3.62E+11;5379475;84.9;81.6;1.48;5.0324;4;41.42011834
Nepal;NPL;Asia;Renda Média-Baixa;33433670512;29136808;72.51;69.521;1.845;62.955;22.5;32.72727273
Nauru;NRU;Oceania;Renda Alta;114626625.6;10834;;;;;;10.52631579
New Zealand;NZL;Oceania;Renda Alta;2.12E+11;5090200;83.9;80.3;1.61;17.2738;0.5;48.33333333
Oman;OMN;Asia;Renda Alta;73971391417;5106622;80.534;76.357;2.783;11.9772;4.3;2.325581395
Pakistan;PAK;Asia;Renda Média-Baixa;3.00E+11;220892331;68.464;66.471;3.394;37.0278;16.5;20.1754386
Guyana;GUY;America;Renda Média-Alta;5471256595;786559;73.219;67.042;2.418;69.8406;18;35.71428571
Jamaica;JAM;America;Renda Média-Alta;13812425037;2961161;76.249;72.951;1.95;48.4418;3;28.57142857
Philippines;PHL;Asia;Renda Média-Baixa;3.62E+11;109581085;75.623;67.39;2.49;55.9696;33;27.96052632
Palau;PLW;Oceania;Renda Média-Alta;257700000;18092;;;;;28;6.25
Papua New Guinea;PNG;Oceania;Renda Média-Baixa;24667052023;8947027;66.058;63.482;3.477;50.636;41;0
Poland;POL;Europa;Renda Alta;5.97E+11;37899070;80.8;72.6;1.38;9.4316;37;28.69565217
North Korea;PRK;Asia;Renda Baixa;;25666158;75.744;68.615;1.896;0.289;;17.61280932
Portugal;PRT;Europa;Renda Alta;2.29E+11;10297081;84.1;78;1.4;7.2436;6.5;40
St. Lucia;LCA;America;Renda Média-Alta;1616772748;183629;77.722;74.977;1.411;38.5656;11;16.66666667
French Polynesia;PYF;Oceania;Renda Alta;5669368717;280904;80.058;75.807;1.913;38.085;;
Qatar;QAT;Asia;Renda Alta;1.44E+11;2881060;82.146;79.314;1.827;8.9248;8.7;9.756097561
Romania;ROU;Europa;Renda Alta;2.50E+11;19257520;78.4;70.5;1.6;34.183;20;21.88449848
Russian Federation;RUS;Asia;Renda Média-Alta;1.49E+12;144073139;76.43;66.49;1.505;17.4608;10.1;15.77777778
Rwanda;RWA;Africa;Renda Baixa;10184345442;12952209;71.456;67.108;3.926;38.328;4;61.25
Saudi Arabia;SAU;Asia;Renda Alta;7.03E+11;34813867;76.919;74.079;2.238;6.643;10.4;19.86754967
Sudan;SDN;Africa;Renda Baixa;26987563444;43849269;67.429;63.665;4.289;54.402;34.5;
Senegal;SEN;Africa;Renda Média-Baixa;24493157583;16743930;70.203;66.014;4.491;66.698;6;43.03030303
Singapore;SGP;Asia;Renda Alta;3.45E+11;5685807;86.1;81.5;1.1;3.4802;1.5;29.47368421
Solomon Islands;SLB;Oceania;Renda Média-Baixa;1545888426;686878;75.014;71.415;4.309;79.2288;9;6.382978723
Sierra Leone;SLE;Africa;Renda Baixa;4063289450;7976985;55.875;54.213;4.077;105.0286;8;12.32876712
Mexico;MEX;America;Renda Média-Alta;1.09E+12;128932753;77.934;72.302;2.079;57.6326;8.4;48.2
San Marino;SMR;Europa;Renda Alta;1544713785;33938;;;;;11.5;33.33333333
Somalia;SOM;Africa;Renda Baixa;6965285325;15893219;59.443;56.011;5.885;92.7656;70;24.36363636
Serbia;SRB;Europa;Renda Média-Alta;53335016425;6899126;77.2;71.4;1.48;13.0212;7;38.8
South Sudan;SSD;Africa;Renda Baixa;;11193729;59.64;56.593;4.543;54.2196;13;28.45953003
Sao Tome and Principe;STP;Africa;Renda Média-Baixa;472914469.9;219161;73.029;68.159;4.214;90.7928;7;23.63636364
Peru;PER;America;Renda Média-Alta;2.02E+11;32971846;79.714;74.288;2.212;54.0914;26;26.15384615
Slovak Republic;SVK;Europa;Renda Alta;1.05E+11;5458827;80.4;73.5;1.57;26.4376;21.5;22.66666667
Slovenia;SVN;Europa;Renda Alta;53589609581;2102419;83.4;77.8;1.6;3.4052;8;27.77777778
Sweden;SWE;Europa;Renda Alta;5.41E+11;10353442;84.2;80.7;1.66;5.2158;7.5;46.99140401
Eswatini;SWZ;Africa;Renda Média-Baixa;3984840580;1160164;65.411;56.515;2.919;72.6762;21.5;9.589041096
Paraguay;PRY;America;Renda Média-Alta;35432178068;7132530;76.524;72.356;2.383;69.5392;35;16.25
Seychelles;SYC;Africa;Renda Alta;1200634489;98462;82;72.7;2.29;59.5732;32;24.24242424
Syrian Arab Republic;SYR;Asia;Renda Baixa;;17500657;78.419;69.387;2.734;36.6696;15.5;11.2
Suriname;SUR;America;Renda Média-Alta;2884248048;586634;75.195;68.577;2.371;58.6088;66;29.41176471
Chad;TCD;Africa;Renda Baixa;10715396135;16425859;55.945;53.093;5.553;151.5632;58;15.43209877
Togo;TGO;Africa;Renda Baixa;7574636979;8278737;62.239;60.429;4.199;87.8814;2.5;18.68131868
Thailand;THA;Asia;Renda Média-Alta;5.00E+11;69799978;81.062;73.677;1.501;44.2504;6;15.74642127
Tajikistan;TJK;Asia;Renda Média-Baixa;8133996648;9537642;73.599;69.121;3.52;58.2598;7;23.80952381
Turkmenistan;TKM;Asia;Renda Média-Alta;;6031187;71.852;64.813;2.701;23.8612;;25
Timor-Leste;TLS;Asia;Renda Média-Baixa;1902156800;1318442;71.869;67.692;3.853;29.522;13;38.46153846
Tonga;TON;Oceania;Renda Média-Alta;488829964.1;105697;73.019;69.057;3.481;13.6666;16;7.407407407
St. Vincent and the Grenadines;VCT;America;Renda Média-Alta;872134546.8;110947;75.263;70.395;1.854;46.5294;10;18.18181818
Tunisia;TUN;Africa;Renda Média-Baixa;42514151614;11818618;78.903;74.883;2.151;7.868;9;24.88479263
Turkiye;TUR;Asia;Renda Média-Alta;7.20E+11;84339067;80.769;74.984;2.039;23.5494;7;17.31748727
Tuvalu;TUV;Oceania;Renda Média-Alta;55054710.62;11792;;;;;;6.25
Tanzania;TZA;Africa;Renda Média-Baixa;62409709111;59734213;67.587;64.009;4.773;114.008;29.5;36.71875
Uganda;UGA;Africa;Renda Baixa;37600368181;45741000;66.001;61.317;4.703;110.5422;24;34.8583878
Ukraine;UKR;Europa;Renda Média-Baixa;1.57E+11;44132049;76.22;66.39;1.217;21.5858;6.5;20.80378251
Venezuela;VEN;America;Renda Média-Baixa;;28515829;76.004;68.327;2.25;84.6214;230;22.15568862
Bolivia;BOL;America;Renda Média-Baixa;36629843806;11673029;74.78;68.927;2.651;61.9126;39.5;46.15384615
Uzbekistan;UZB;Asia;Renda Média-Baixa;59894305353;34232050;73.968;69.697;2.9;25.0482;3;32
Honduras;HND;America;Renda Média-Baixa;23827840810;9904608;77.723;73.142;2.394;69.7152;42;21.09375
Haiti;HTI;America;Renda Média-Baixa;14508218017;11402533;66.506;62.133;2.842;49.5088;97;
Nicaragua;NIC;America;Renda Média-Baixa;12586941393;6624554;78.185;71.161;2.349;79.9344;14;47.25274725
El Salvador;SLV;America;Renda Média-Baixa;24638720000;6486201;78.037;68.685;2.002;66.9228;16.5;33.33333333
Vietnam;VNM;Asia;Renda Média-Baixa;3.43E+11;97338583;79.609;71.407;2.046;25.5974;16;26.72064777
Vanuatu;VUT;Oceania;Renda Média-Baixa;896827873.1;307150;72.322;69.114;3.707;47.8506;18;0
Samoa;WSM;Oceania;Renda Média-Baixa;807147527.6;198410;75.606;71.44;3.785;22.1136;9;10
Kosovo;XKX;Europa;Renda Média-Alta;7716925356;1790133;73.7;68.6;1.95;;4.5;
Yemen;YEM;Asia;Renda Baixa;21887614217;29161922;67.826;64.443;3.7;57.9728;40.5;0.332225914
South Africa;ZAF;Africa;Renda Média-Alta;3.35E+11;59308690;67.93;60.966;2.358;67.7304;40;46.75
Zambia;ZMB;Africa;Renda Baixa;18110631358;18383956;67.236;61.125;4.496;114.6904;8.5;16.76646707
Zimbabwe;ZWE;Africa;Renda Média-Baixa;18051170799;14862927;63.164;60.037;3.46;77.4758;27;31.85185185
