ano;GEOCODIGO;cidade;rede;educacao_infantil;anos_iniciais;anos_finais;ensino_fundamental;ensino_medio;eja_fundamental;eja_medio
2021;4303707;CAMPINA DAS MISSÕES;Total;88.2;93.3;48.7;66.6;59.8;0;0
2021;4303806;CAMPINAS DO SUL;Total;75;68.4;63;65.1;47.5;0;0
2021;4303905;CAMPO BOM;Total;58.9;75;82;77.7;71;32;0
2021;4304002;CAMPO NOVO;Total;81.8;89.7;62;77.1;67.3;0;0
2021;4304101;CAMPOS BORGES;Total;61.5;57.6;69.9;63;65.4;0;55.8
2021;4304200;CANDELÁRIA;Total;76.4;64.2;66.6;65.2;69.9;32.2;58.1
2021;4304309;CÂNDIDO GODÓI;Total;74.4;55;50.8;52.9;82.1;0;0
2021;4304358;CANDIOTA;Total;84;68.5;59.2;63.2;43.2;38;38.5
2021;4304408;CANELA;Total;59.2;68.8;54.8;63.2;59.3;36.8;53.3
2021;4304507;CANGUÇU;Total;77.5;61.4;51.3;55.4;78;17.5;54.8
2021;4304606;CANOAS;Total;38.8;72.2;63.8;67.8;72;18;62.1
2021;4304614;CANUDOS DO VALE;Total;62.5;90;60;75;56.1;0;0
2021;4304622;CAPÃO BONITO DO SUL;Total;100;80.4;62.9;70.6;60.5;0;0
2021;4304630;CAPÃO DA CANOA;Total;72;66.1;68.8;68;76.2;53.6;64.9
2021;4304655;CAPÃO DO CIPÓ;Total;68.8;84.4;60.6;67.1;53.2;25;0
2021;4304663;CAPÃO DO LEÃO;Total;74.4;65.1;60.7;62.9;88.4;32.2;0
2021;4304671;CAPIVARI DO SUL;Total;46.6;70.9;70.9;70.9;56.1;44.4;55
2021;4304689;CAPELA DE SANTANA;Total;54.2;67.8;61.3;64.8;50.5;28.1;0
2021;4304697;CAPITÃO;Total;25;35;61.4;48.5;37.8;0;0
2021;4304705;CARAZINHO;Total;76.4;82.9;69;76.5;62.7;7.9;51.6
2021;4304713;CARAÁ;Total;100;81.3;76.1;79.3;71.4;0;0
2021;4304804;CARLOS BARBOSA;Total;52.5;74.3;72.5;73.4;71.3;15;53.3
2021;4304853;CARLOS GOMES;Total;25;50;43.1;44.3;44.7;0;0
2021;4304903;CASCA;Total;77.5;80.4;46.4;63.4;64.5;11.1;0
2021;4304952;CASEIROS;Total;81.3;61.2;67.2;64.8;65.4;0;0
2021;4305009;CATUÍPE;Total;48.6;77.8;58.4;66.8;65.8;29.4;66.7
2021;4305108;CAXIAS DO SUL;Total;25.2;72.4;66.2;69.5;69.1;43.4;48.5
2021;4305116;CENTENÁRIO;Total;29.2;82.1;75;78.9;66.3;0;0
2021;4305124;CERRITO;Total;77.8;61.8;54.7;58.5;60.6;55.6;71.1
2021;4305132;CERRO BRANCO;Total;70;80.9;77.3;79;58.7;0;0
2021;4305157;CERRO GRANDE;Total;46.7;90;78.3;83.6;63;39.1;0
